Crash ID,Crash Type,Penalty Price,State_id,Hour_id,Victim_id,Speed_id,Holiday_id
8605,Single,50,234,15264,15264,15264,15264
2715,Multiple,310,181,22659,22659,22659,22659
2535,Single,250,18,13117,13117,13117,13117
25966,Single,330,181,21657,21657,21657,21657
29809,Multiple,40,184,5628,5628,5628,5628
27233,Multiple,40,44,9313,9313,9313,9313
31709,Single,350,129,21166,21166,21166,21166
12378,Single,260,121,31578,31578,31578,31578
4466,Single,220,138,16128,16128,16128,16128
892,Multiple,390,39,21124,21124,21124,21124
13188,Single,310,96,4797,4797,4797,4797
13389,Single,320,241,20837,20837,20837,20837
6942,Multiple,320,230,15088,15088,15088,15088
1134,Multiple,360,165,16371,16371,16371,16371
23016,Multiple,180,60,24984,24984,24984,24984
28150,Multiple,140,182,20473,20473,20473,20473
25503,Multiple,390,115,23844,23844,23844,23844
13518,Multiple,170,139,20842,20842,20842,20842
19046,Multiple,100,108,13277,13277,13277,13277
8852,Multiple,80,6,7292,7292,7292,7292
28102,Multiple,170,187,10829,10829,10829,10829
20778,Single,350,176,8523,8523,8523,8523
19624,Single,280,4,5951,5951,5951,5951
13514,Single,200,126,20868,20868,20868,20868
9860,Single,400,239,30272,30272,30272,30272
4210,Single,300,200,25995,25995,25995,25995
25593,Multiple,150,176,30573,30573,30573,30573
11957,Single,300,197,1328,1328,1328,1328
20800,Single,290,190,25527,25527,25527,25527
20782,Multiple,40,34,25756,25756,25756,25756
16880,Multiple,240,233,18034,18034,18034,18034
1127,Single,280,8,19170,19170,19170,19170
26970,Single,260,178,667,667,667,667
8626,Multiple,370,114,22642,22642,22642,22642
30449,Single,220,217,22003,22003,22003,22003
3566,Multiple,400,1,4944,4944,4944,4944
12948,Multiple,320,210,26194,26194,26194,26194
13932,Single,180,109,28618,28618,28618,28618
1878,Single,230,244,27456,27456,27456,27456
28966,Multiple,380,189,21812,21812,21812,21812
22858,Multiple,370,102,8419,8419,8419,8419
23489,Multiple,30,228,2522,2522,2522,2522
25677,Single,90,12,13688,13688,13688,13688
9139,Single,150,95,24524,24524,24524,24524
22579,Single,170,178,26577,26577,26577,26577
30084,Single,280,21,27308,27308,27308,27308
13958,Multiple,230,149,19515,19515,19515,19515
14485,Single,190,198,26021,26021,26021,26021
17636,Multiple,110,198,3679,3679,3679,3679
10318,Single,280,106,18631,18631,18631,18631
14127,Multiple,380,154,10580,10580,10580,10580
28260,Single,70,6,26360,26360,26360,26360
25224,Single,270,106,21101,21101,21101,21101
26467,Multiple,160,168,18089,18089,18089,18089
2560,Multiple,350,20,30325,30325,30325,30325
8139,Multiple,110,149,2435,2435,2435,2435
4987,Multiple,60,245,8210,8210,8210,8210
21992,Multiple,170,38,5460,5460,5460,5460
28702,Single,130,241,22386,22386,22386,22386
2457,Multiple,280,151,24747,24747,24747,24747
8391,Multiple,60,230,6046,6046,6046,6046
22103,Multiple,370,223,4506,4506,4506,4506
8468,Single,240,10,5209,5209,5209,5209
8609,Single,240,207,21414,21414,21414,21414
13152,Multiple,330,59,13505,13505,13505,13505
23417,Single,230,3,29011,29011,29011,29011
2835,Single,260,173,3252,3252,3252,3252
5113,Multiple,230,232,8966,8966,8966,8966
17627,Single,230,80,2851,2851,2851,2851
19294,Single,320,114,24843,24843,24843,24843
14920,Single,360,49,18668,18668,18668,18668
29092,Single,60,193,6170,6170,6170,6170
23006,Single,270,30,11352,11352,11352,11352
8663,Single,230,164,12478,12478,12478,12478
14868,Multiple,400,171,27070,27070,27070,27070
20720,Single,300,78,7334,7334,7334,7334
7484,Single,190,195,23739,23739,23739,23739
7957,Single,100,7,13253,13253,13253,13253
23525,Single,130,153,8091,8091,8091,8091
11428,Single,220,87,10649,10649,10649,10649
9079,Single,260,236,29860,29860,29860,29860
22692,Single,360,42,6775,6775,6775,6775
18766,Single,330,163,18604,18604,18604,18604
7408,Single,130,30,13021,13021,13021,13021
7312,Single,390,204,467,467,467,467
7958,Single,380,169,24625,24625,24625,24625
17909,Single,50,146,23676,23676,23676,23676
12838,Single,270,84,20532,20532,20532,20532
16090,Single,380,230,31466,31466,31466,31466
2324,Single,80,20,20016,20016,20016,20016
9485,Single,290,197,10511,10511,10511,10511
29298,Multiple,40,109,7599,7599,7599,7599
4112,Single,250,155,6627,6627,6627,6627
1975,Single,60,172,6605,6605,6605,6605
23260,Single,310,65,17175,17175,17175,17175
23418,Single,350,114,20504,20504,20504,20504
27824,Multiple,380,241,23470,23470,23470,23470
16941,Multiple,280,171,10475,10475,10475,10475
1914,Single,170,175,15682,15682,15682,15682
27133,Single,140,68,28186,28186,28186,28186
12340,Multiple,150,31,3362,3362,3362,3362
23123,Multiple,140,117,25759,25759,25759,25759
31146,Single,240,10,19983,19983,19983,19983
2067,Single,130,94,24805,24805,24805,24805
9402,Single,310,245,2203,2203,2203,2203
12118,Single,230,47,13329,13329,13329,13329
27842,Single,400,116,10638,10638,10638,10638
8916,Multiple,220,200,24706,24706,24706,24706
9953,Single,220,41,14049,14049,14049,14049
36,Multiple,250,177,3947,3947,3947,3947
17395,Single,350,82,3514,3514,3514,3514
7827,Multiple,130,68,17652,17652,17652,17652
10138,Multiple,230,136,3113,3113,3113,3113
20554,Multiple,230,29,3126,3126,3126,3126
18585,Multiple,80,218,30366,30366,30366,30366
8825,Single,210,2,25841,25841,25841,25841
27197,Multiple,270,30,31549,31549,31549,31549
23540,Multiple,120,2,16216,16216,16216,16216
19278,Single,260,219,10804,10804,10804,10804
11559,Single,210,126,18075,18075,18075,18075
6702,Multiple,180,238,2056,2056,2056,2056
5478,Single,340,132,26777,26777,26777,26777
1496,Single,240,242,21131,21131,21131,21131
23177,Single,360,103,5992,5992,5992,5992
25215,Single,220,201,9599,9599,9599,9599
22904,Single,220,208,19626,19626,19626,19626
5450,Single,350,239,5229,5229,5229,5229
29375,Multiple,270,209,15038,15038,15038,15038
25715,Multiple,40,5,26790,26790,26790,26790
21670,Multiple,240,49,2497,2497,2497,2497
29361,Single,310,146,8905,8905,8905,8905
8956,Multiple,380,224,3927,3927,3927,3927
6141,Single,400,132,24529,24529,24529,24529
2242,Multiple,140,94,6466,6466,6466,6466
7320,Single,240,181,30850,30850,30850,30850
22509,Single,120,72,30840,30840,30840,30840
7870,Single,220,150,2798,2798,2798,2798
8907,Multiple,360,122,8016,8016,8016,8016
20936,Multiple,70,1,12815,12815,12815,12815
1564,Multiple,70,165,15936,15936,15936,15936
14956,Multiple,330,242,26975,26975,26975,26975
14893,Multiple,260,75,26545,26545,26545,26545
6368,Multiple,330,80,1072,1072,1072,1072
24801,Multiple,270,46,25733,25733,25733,25733
19042,Multiple,140,21,5004,5004,5004,5004
20040,Multiple,330,4,24672,24672,24672,24672
13046,Multiple,200,237,29843,29843,29843,29843
5526,Single,210,83,25656,25656,25656,25656
18311,Single,60,113,22475,22475,22475,22475
22001,Single,110,51,18307,18307,18307,18307
4646,Multiple,40,205,11966,11966,11966,11966
6507,Single,270,236,21320,21320,21320,21320
2321,Multiple,300,87,21975,21975,21975,21975
31679,Single,140,75,10174,10174,10174,10174
18890,Single,260,15,19652,19652,19652,19652
12076,Multiple,310,197,24008,24008,24008,24008
23666,Multiple,340,179,9606,9606,9606,9606
6703,Multiple,180,77,4331,4331,4331,4331
25482,Single,140,172,17368,17368,17368,17368
27752,Multiple,220,85,775,775,775,775
19658,Single,370,7,7654,7654,7654,7654
27848,Single,310,110,16734,16734,16734,16734
25121,Multiple,100,7,4068,4068,4068,4068
5241,Single,30,152,7929,7929,7929,7929
1810,Multiple,90,70,21216,21216,21216,21216
29462,Single,190,189,18305,18305,18305,18305
432,Single,250,67,15483,15483,15483,15483
541,Multiple,70,88,476,476,476,476
26378,Single,240,31,29452,29452,29452,29452
21358,Single,340,164,8791,8791,8791,8791
20717,Single,160,75,30472,30472,30472,30472
14373,Single,130,211,370,370,370,370
24236,Multiple,70,112,23994,23994,23994,23994
12830,Single,190,216,1437,1437,1437,1437
3305,Single,390,201,4255,4255,4255,4255
20752,Single,370,177,25600,25600,25600,25600
3843,Single,160,153,16382,16382,16382,16382
17745,Single,270,199,25319,25319,25319,25319
11448,Single,230,1,23053,23053,23053,23053
18229,Single,240,33,24058,24058,24058,24058
12669,Single,70,198,4546,4546,4546,4546
10179,Single,230,98,11561,11561,11561,11561
2640,Single,360,236,26169,26169,26169,26169
31007,Single,150,120,30894,30894,30894,30894
31649,Single,80,102,31444,31444,31444,31444
31721,Single,330,151,13549,13549,13549,13549
8510,Single,340,30,21360,21360,21360,21360
20178,Single,340,127,12707,12707,12707,12707
5143,Multiple,360,174,20875,20875,20875,20875
9852,Multiple,150,33,6017,6017,6017,6017
29397,Multiple,40,214,7539,7539,7539,7539
5485,Single,130,209,13724,13724,13724,13724
26704,Single,120,27,29308,29308,29308,29308
21054,Single,240,178,6108,6108,6108,6108
3120,Single,360,156,23933,23933,23933,23933
24956,Single,300,37,24604,24604,24604,24604
2647,Multiple,320,22,15361,15361,15361,15361
22944,Single,300,146,15756,15756,15756,15756
9435,Single,370,99,19305,19305,19305,19305
180,Single,340,170,27350,27350,27350,27350
30561,Single,90,34,5307,5307,5307,5307
31400,Multiple,100,13,11675,11675,11675,11675
7173,Multiple,200,234,10497,10497,10497,10497
7987,Multiple,350,20,24371,24371,24371,24371
20513,Multiple,70,193,14469,14469,14469,14469
29627,Single,100,183,6768,6768,6768,6768
25934,Multiple,30,36,19779,19779,19779,19779
11641,Single,70,121,4949,4949,4949,4949
25003,Multiple,150,151,5695,5695,5695,5695
14648,Single,270,77,8302,8302,8302,8302
6192,Multiple,270,122,24819,24819,24819,24819
10571,Multiple,240,11,4528,4528,4528,4528
8906,Multiple,100,32,3969,3969,3969,3969
7714,Single,90,140,2416,2416,2416,2416
6886,Multiple,50,203,2628,2628,2628,2628
17163,Single,70,229,23021,23021,23021,23021
20301,Multiple,120,188,16016,16016,16016,16016
22100,Multiple,280,147,24205,24205,24205,24205
28607,Single,350,39,3603,3603,3603,3603
16868,Multiple,170,248,4011,4011,4011,4011
25255,Single,60,138,12501,12501,12501,12501
1695,Single,120,112,28661,28661,28661,28661
10156,Single,30,227,27890,27890,27890,27890
30876,Multiple,150,55,3748,3748,3748,3748
25009,Single,140,198,30906,30906,30906,30906
13195,Single,180,26,3284,3284,3284,3284
11165,Single,190,191,11536,11536,11536,11536
12738,Multiple,60,242,16746,16746,16746,16746
19153,Single,290,7,11841,11841,11841,11841
31067,Multiple,190,114,9438,9438,9438,9438
27683,Multiple,70,225,25800,25800,25800,25800
6587,Single,300,221,11306,11306,11306,11306
30528,Multiple,100,144,14349,14349,14349,14349
3011,Multiple,280,171,22006,22006,22006,22006
17509,Single,380,224,31025,31025,31025,31025
14448,Single,130,45,28558,28558,28558,28558
25033,Single,60,48,5436,5436,5436,5436
11693,Multiple,50,241,24715,24715,24715,24715
2407,Single,200,147,31034,31034,31034,31034
11780,Multiple,300,245,7309,7309,7309,7309
9587,Single,240,145,11936,11936,11936,11936
17570,Multiple,400,136,30821,30821,30821,30821
14718,Single,200,53,5574,5574,5574,5574
3605,Multiple,290,201,28048,28048,28048,28048
18226,Single,370,122,29970,29970,29970,29970
10472,Multiple,150,70,6265,6265,6265,6265
545,Single,80,140,25183,25183,25183,25183
4673,Single,30,238,11099,11099,11099,11099
16750,Multiple,380,58,15324,15324,15324,15324
30092,Single,70,194,23974,23974,23974,23974
23236,Single,150,248,9882,9882,9882,9882
24555,Multiple,60,181,28969,28969,28969,28969
20413,Multiple,150,201,26726,26726,26726,26726
24084,Multiple,140,181,8577,8577,8577,8577
340,Single,120,78,9295,9295,9295,9295
14846,Single,60,48,30791,30791,30791,30791
26831,Multiple,330,39,24826,24826,24826,24826
19902,Single,160,234,22750,22750,22750,22750
11017,Single,260,56,28782,28782,28782,28782
3094,Multiple,290,229,10542,10542,10542,10542
29451,Single,30,188,24059,24059,24059,24059
16485,Single,190,246,11499,11499,11499,11499
21716,Single,360,199,25936,25936,25936,25936
19734,Single,260,112,8711,8711,8711,8711
8821,Multiple,350,222,30372,30372,30372,30372
19421,Single,250,207,31024,31024,31024,31024
8896,Single,380,184,10758,10758,10758,10758
838,Single,50,79,11766,11766,11766,11766
12744,Multiple,220,178,3266,3266,3266,3266
12790,Single,70,151,7765,7765,7765,7765
24004,Single,140,127,10465,10465,10465,10465
18931,Single,210,231,14283,14283,14283,14283
29118,Single,390,21,8170,8170,8170,8170
30504,Single,320,22,24047,24047,24047,24047
12136,Multiple,290,24,18821,18821,18821,18821
15103,Single,50,38,19207,19207,19207,19207
27678,Single,70,46,13308,13308,13308,13308
3595,Multiple,190,111,4558,4558,4558,4558
25746,Single,160,234,29974,29974,29974,29974
435,Multiple,280,85,21532,21532,21532,21532
10066,Multiple,30,237,12491,12491,12491,12491
4222,Single,290,27,9252,9252,9252,9252
31713,Single,70,73,15139,15139,15139,15139
27636,Single,360,231,10706,10706,10706,10706
16959,Multiple,360,14,24876,24876,24876,24876
9983,Single,380,135,28801,28801,28801,28801
23860,Multiple,160,200,13984,13984,13984,13984
747,Single,180,142,24784,24784,24784,24784
5907,Multiple,320,169,20971,20971,20971,20971
27267,Single,400,102,226,226,226,226
28789,Multiple,310,161,22513,22513,22513,22513
12353,Multiple,50,120,26592,26592,26592,26592
14052,Multiple,210,156,26734,26734,26734,26734
4510,Single,300,235,12837,12837,12837,12837
20657,Single,130,156,29286,29286,29286,29286
22205,Single,170,67,28116,28116,28116,28116
24664,Multiple,210,56,9158,9158,9158,9158
5318,Single,240,19,6237,6237,6237,6237
16488,Single,160,2,11693,11693,11693,11693
31417,Single,330,217,9524,9524,9524,9524
27370,Single,260,97,16607,16607,16607,16607
10345,Multiple,210,72,22656,22656,22656,22656
28201,Single,250,157,27306,27306,27306,27306
9252,Single,220,177,14426,14426,14426,14426
8005,Multiple,390,50,13385,13385,13385,13385
10901,Multiple,300,238,19237,19237,19237,19237
30455,Multiple,30,233,2848,2848,2848,2848
15554,Single,140,31,6967,6967,6967,6967
27092,Multiple,30,105,9608,9608,9608,9608
3014,Multiple,200,66,6170,6170,6170,6170
3634,Single,80,106,24810,24810,24810,24810
23488,Single,240,160,5398,5398,5398,5398
6869,Single,100,106,15247,15247,15247,15247
3743,Single,270,79,22646,22646,22646,22646
31592,Single,290,36,12214,12214,12214,12214
19397,Multiple,120,122,9595,9595,9595,9595
16945,Single,150,19,5952,5952,5952,5952
15982,Multiple,220,31,18064,18064,18064,18064
2678,Single,100,243,3843,3843,3843,3843
27069,Single,140,193,20596,20596,20596,20596
3418,Multiple,220,73,17650,17650,17650,17650
3973,Multiple,290,196,19871,19871,19871,19871
31443,Multiple,40,118,18708,18708,18708,18708
2701,Multiple,330,159,19322,19322,19322,19322
22714,Single,220,33,22859,22859,22859,22859
30068,Multiple,340,22,21797,21797,21797,21797
4338,Single,160,214,21584,21584,21584,21584
14762,Multiple,120,212,17798,17798,17798,17798
18563,Multiple,210,82,18206,18206,18206,18206
7899,Multiple,240,127,31425,31425,31425,31425
13111,Multiple,400,234,29847,29847,29847,29847
1288,Multiple,140,155,29539,29539,29539,29539
7404,Multiple,320,164,5064,5064,5064,5064
20767,Multiple,360,206,1275,1275,1275,1275
2224,Single,360,134,855,855,855,855
11893,Single,160,157,5777,5777,5777,5777
8425,Single,310,52,25716,25716,25716,25716
3538,Single,100,221,8793,8793,8793,8793
20026,Single,110,85,4517,4517,4517,4517
12001,Multiple,30,46,27126,27126,27126,27126
1955,Single,340,69,5153,5153,5153,5153
26812,Single,100,1,28273,28273,28273,28273
26222,Single,140,32,28000,28000,28000,28000
29478,Single,330,170,2863,2863,2863,2863
16028,Single,230,34,29213,29213,29213,29213
17180,Single,270,154,12108,12108,12108,12108
20164,Single,240,5,50,50,50,50
12741,Single,260,25,4918,4918,4918,4918
1685,Multiple,200,91,22961,22961,22961,22961
13670,Single,70,73,3248,3248,3248,3248
25981,Single,100,228,18193,18193,18193,18193
17972,Single,70,45,13180,13180,13180,13180
24131,Multiple,340,138,12562,12562,12562,12562
11342,Single,330,135,6962,6962,6962,6962
23919,Multiple,350,218,10250,10250,10250,10250
15919,Multiple,150,136,16440,16440,16440,16440
22459,Single,130,30,5392,5392,5392,5392
25515,Multiple,370,34,30844,30844,30844,30844
18010,Single,200,189,15177,15177,15177,15177
20757,Single,250,22,30689,30689,30689,30689
23992,Multiple,350,145,28769,28769,28769,28769
18826,Multiple,80,138,8291,8291,8291,8291
20497,Single,80,176,8254,8254,8254,8254
21840,Single,90,53,22868,22868,22868,22868
27412,Single,300,8,10890,10890,10890,10890
5948,Multiple,300,94,25231,25231,25231,25231
22957,Single,100,184,21587,21587,21587,21587
17027,Multiple,380,149,19531,19531,19531,19531
19494,Multiple,40,231,1705,1705,1705,1705
10616,Multiple,80,107,29069,29069,29069,29069
1645,Multiple,330,42,8390,8390,8390,8390
7927,Multiple,300,194,18287,18287,18287,18287
8237,Multiple,70,42,9380,9380,9380,9380
1196,Multiple,210,46,8414,8414,8414,8414
13893,Single,80,142,30395,30395,30395,30395
27394,Single,200,48,22821,22821,22821,22821
11400,Single,260,74,7311,7311,7311,7311
20745,Single,70,153,25192,25192,25192,25192
11837,Multiple,330,246,28459,28459,28459,28459
19001,Multiple,350,24,11633,11633,11633,11633
17948,Multiple,170,186,18263,18263,18263,18263
22208,Single,170,17,8495,8495,8495,8495
18089,Single,370,69,24606,24606,24606,24606
14706,Multiple,200,51,8704,8704,8704,8704
26707,Multiple,140,227,31154,31154,31154,31154
22358,Single,240,39,21007,21007,21007,21007
14750,Single,130,231,21371,21371,21371,21371
11936,Multiple,390,129,12666,12666,12666,12666
12677,Single,230,52,20207,20207,20207,20207
20730,Multiple,60,67,22503,22503,22503,22503
9226,Multiple,220,211,21198,21198,21198,21198
21962,Multiple,240,5,30593,30593,30593,30593
20221,Multiple,390,9,26731,26731,26731,26731
29931,Multiple,200,162,26391,26391,26391,26391
30340,Single,240,172,9000,9000,9000,9000
11814,Multiple,200,36,4451,4451,4451,4451
26207,Single,160,160,8757,8757,8757,8757
5173,Multiple,240,132,25941,25941,25941,25941
29110,Single,240,31,25311,25311,25311,25311
13590,Multiple,120,235,5352,5352,5352,5352
14395,Single,300,79,19543,19543,19543,19543
13433,Multiple,120,225,2764,2764,2764,2764
15107,Single,290,83,23468,23468,23468,23468
4365,Single,260,58,19620,19620,19620,19620
24075,Multiple,260,2,6091,6091,6091,6091
13249,Single,230,202,31501,31501,31501,31501
26780,Single,390,92,18761,18761,18761,18761
407,Single,320,10,917,917,917,917
28246,Multiple,220,82,3406,3406,3406,3406
6461,Single,380,44,9044,9044,9044,9044
30770,Single,50,219,24734,24734,24734,24734
4650,Multiple,150,161,18378,18378,18378,18378
4891,Single,280,8,29549,29549,29549,29549
3202,Single,100,147,19887,19887,19887,19887
20094,Multiple,110,126,24863,24863,24863,24863
29535,Single,90,85,19328,19328,19328,19328
27328,Multiple,160,35,1288,1288,1288,1288
6847,Multiple,230,185,26606,26606,26606,26606
15920,Single,50,122,15156,15156,15156,15156
17700,Single,70,23,2624,2624,2624,2624
473,Single,30,100,14543,14543,14543,14543
8189,Multiple,140,173,25362,25362,25362,25362
6086,Multiple,40,116,28057,28057,28057,28057
18248,Multiple,170,42,30669,30669,30669,30669
13267,Multiple,230,55,4098,4098,4098,4098
22006,Multiple,120,53,3150,3150,3150,3150
7815,Single,50,127,23769,23769,23769,23769
24389,Multiple,320,197,31633,31633,31633,31633
13674,Multiple,180,182,6105,6105,6105,6105
26661,Multiple,230,204,24105,24105,24105,24105
28760,Single,350,114,900,900,900,900
23198,Multiple,80,36,12665,12665,12665,12665
30499,Multiple,310,96,18325,18325,18325,18325
28644,Multiple,40,110,23391,23391,23391,23391
15937,Multiple,30,30,11981,11981,11981,11981
3455,Multiple,290,58,17267,17267,17267,17267
25670,Multiple,150,17,21591,21591,21591,21591
24654,Multiple,380,134,25274,25274,25274,25274
26730,Multiple,320,202,9381,9381,9381,9381
17855,Multiple,100,192,540,540,540,540
28427,Multiple,360,25,29994,29994,29994,29994
3150,Single,290,104,30880,30880,30880,30880
16489,Single,260,232,12339,12339,12339,12339
11756,Single,350,210,21608,21608,21608,21608
21285,Single,260,18,27990,27990,27990,27990
23497,Single,70,47,4147,4147,4147,4147
11392,Single,380,218,21893,21893,21893,21893
930,Multiple,110,134,29144,29144,29144,29144
10420,Single,220,142,10771,10771,10771,10771
2418,Multiple,90,240,12067,12067,12067,12067
20265,Multiple,130,202,14416,14416,14416,14416
